Id,Hotel Name,Address,City State,Registration Date,Last Booking,Total Bookings,,,
66,Grimes Inc,97 Leroy Plaza,Fortaleza - CE,2019-12-05,2021-12-11,188,,,
67,Mraz LLC,350 Washington Park,Rio de Janeiro - RJ,2019-12-13,2021-07-30,163,,,
68,"Stokes, Ernser and Hahn",88 Sachtjen Court,Santos - SP,2019-12-15,2021-08-18,622,,,
69,Nikolaus Group,000 Crest Line Alley,Porto Alegre - RS,2019-12-16,2022-01-03,296,,,
70,"Roberts, Herzog and Nolan",679 Village Green Crossing,Santos - SP,2019-12-17,2021-10-20,271,,,
71,Brekke Group,65805 Susan Parkway,Porto Alegre - RS,2019-12-17,2021-09-06,108,,,
72,"Dickens, Metz and Koelpin",0791 Farragut Terrace,Porto Alegre - RS,2019-12-17,2021-11-16,859,,,
73,Friesen-Rutherford,4 Chive Alley,Santos - SP,2019-12-18,2021-02-14,448,,,
74,Schaden-Bode,80 Eagan Road,Porto Alegre - RS,2019-12-30,2021-10-18,543,,,
75,Langworth LLC,521 Sachs Lane,Florianópolis - SC,2019-12-30,2021-05-20,640,,,
76,Murray-Predovic,3410 Kinsman Avenue,Florianópolis - SC,2019-12-30,2022-02-15,54,,,
77,Denesik-Turner,527 Badeau Terrace,Porto Alegre - RS,2019-12-31,2021-06-04,524,,,
78,Reichel-Harris,7372 Chive Drive,Santos - SP,2020-01-01,2021-04-19,751,,,
79,Rutherford-Bernhard,57 Sunnyside Road,Porto Alegre - RS,2020-01-02,2021-07-22,529,,,
80,Abbott-Gerhold,4867 Mifflin Hill,Fortaleza - CE,2020-01-04,2021-09-19,566,,,
81,"Kris, Jerde and Kassulke",37 Walton Lane,Porto Alegre - RS,2020-01-04,2021-03-06,71,,,
82,Collins and Sons,48 Swallow Circle,Brasilia - DF,2020-01-06,2021-04-18,857,,,
83,"Harris, Beahan and Hauck",7 Westport Junction,Florianópolis - SC,2020-01-09,2021-08-15,59,,,
84,Orn Inc,0 Mariners Cove Road,Santos - SP,2020-01-09,2021-07-19,381,,,
85,Kihn LLC,6898 Stoughton Center,Fortaleza - CE,2020-01-14,2021-06-23,455,,,
86,"Wiegand, Ledner and Wiegand",790 Fisk Road,Brasilia - DF,2020-01-15,2021-03-19,427,,,
87,"Mohr, Schimmel and Jacobson",014 Toban Place,Fortaleza - CE,2020-01-16,2021-11-21,321,,,
88,"Kreiger, Bailey and Lindgren",7 Northfield Road,Brasilia - DF,2020-01-16,2022-03-11,750,,,
89,"Graham, Hagenes and Collier",67509 Green Ridge Court,Rio de Janeiro - RJ,2020-01-17,2021-08-30,717,,,
90,"Ratke, Batz and Kilback",03 Warbler Trail,São Paulo - SP,2020-01-20,2021-09-09,802,,,
91,"Fritsch, Fisher and Rolfson",15 David Drive,Fortaleza - CE,2020-01-30,2021-11-14,627,,,
92,"Kozey, Spencer and Denesik",31 Eastlawn Parkway,Fortaleza - CE,2020-02-01,2021-10-14,11,,,
93,Simonis Group,9327 Fairfield Road,Rio de Janeiro - RJ,2020-02-01,2021-12-27,378,,,
94,"Conn, Terry and Powlowski",42380 Sycamore Street,São Paulo - SP,2020-02-02,2021-06-06,463,,,
95,Hammes Inc,2012 Old Shore Pass,Fortaleza - CE,2020-02-03,2021-06-03,421,,,
96,Collins-Little,071 Gerald Park,Brasilia - DF,2020-02-03,2021-12-04,390,,,
97,Torp-Lowe,6 Caliangt Court,Florianópolis - SC,2020-02-04,2020-12-29,295,,,
98,Sporer-Walker,2970 Stephen Street,Rio de Janeiro - RJ,2020-02-06,2022-08-26,441,,,
99,"Wintheiser, Maggio and Kuhlman",044 Harper Alley,São Paulo - SP,2020-02-13,2021-04-14,279,,,
100,Schuppe Inc,8504 Arapahoe Lane,Fortaleza - CE,2020-02-14,2021-05-14,362,,,
101,Padberg-Conroy,8 Havey Avenue,Fortaleza - CE,2020-02-17,2021-11-03,435,,,
102,"Effertz, Will and Rogahn",54668 Shasta Place,Brasilia - DF,2020-02-19,2021-12-13,702,,,
103,Botsford Group,805 Hanover Crossing,Fortaleza - CE,2020-02-20,2022-04-05,33,,,
104,"Fisher, Hammes and Schuppe",500 Orin Park,Brasilia - DF,2020-02-23,2021-03-20,561,,,
105,Nikolaus-McDermott,447 Fulton Hill,Florianópolis - SC,2020-02-23,2021-04-17,252,,,
106,Beier Inc,2 Algoma Junction,São Paulo - SP,2020-02-24,2021-11-03,520,,,
107,Kunde LLC,4 Aberg Street,Rio de Janeiro - RJ,2020-02-26,2022-01-27,691,,,
108,"Romaguera, Block and Olson",83 Evergreen Plaza,Brasilia - DF,2020-02-28,2020-12-17,198,,,
109,"Welch, Kreiger and Smith",39 Sugar Court,Brasilia - DF,2020-02-29,2022-02-27,73,,,
110,Roberts and Sons,45 Monterey Crossing,Porto Alegre - RS,2020-02-29,2021-09-13,229,,,
111,Koelpin LLC,9 Shelley Avenue,Brasilia - DF,2020-03-02,2021-10-11,237,,,
112,Kulas Group,3735 Eastwood Place,Fortaleza - CE,2020-03-05,2022-01-28,176,,,
113,Flatley-Boehm,15014 Morrow Pass,Porto Alegre - RS,2020-03-05,2021-09-17,576,,,
114,"Becker, Botsford and Krajcik",27 Dorton Plaza,Florianópolis - SC,2020-03-07,2021-05-23,386,,,
115,Russel LLC,773 Starling Trail,Florianópolis - SC,2020-03-09,2022-02-10,706,,,
116,McDermott Inc,4574 Hintze Point,Rio de Janeiro - RJ,2020-03-09,2021-03-15,227,,,
117,Runolfsdottir and Sons,28068 Portage Alley,São Paulo - SP,2020-03-09,2021-08-29,756,,,
118,"Dibbert, Mertz and Jast",6387 Havey Street,Rio de Janeiro - RJ,2020-03-10,2021-01-02,57,,,
119,Feest Inc,73038 Nevada Court,Santos - SP,2020-03-10,2021-08-19,445,,,
120,Nitzsche-Kovacek,89 Almo Alley,Santos - SP,2020-03-13,2021-07-26,551,,,
121,Ortiz-Weimann,56298 Dakota Court,São Paulo - SP,2020-03-15,2022-01-20,373,,,
122,Wintheiser-Turcotte,04 Vidon Park,Rio de Janeiro - RJ,2020-03-17,2022-01-11,423,,,
123,Howe Inc,76 Northridge Point,Rio de Janeiro - RJ,2020-03-17,2021-07-19,515,,,
124,Jenkins-Runte,5 Loomis Alley,Fortaleza - CE,2020-03-19,2021-02-07,358,,,
125,"Ward, Sporer and D'Amore",0 Rieder Park,Florianópolis - SC,2020-03-21,2021-07-22,252,,,
126,"Jacobs, O'Hara and Skiles",9135 Blaine Pass,Florianópolis - SC,2020-03-21,2021-08-11,443,,,
127,Johnson and Sons,449 Bluejay Center,Brasilia - DF,2020-03-23,2021-10-29,429,,,
128,Watsica-McGlynn,69 Veith Trail,Fortaleza - CE,2020-03-23,2021-10-27,435,,,
129,Kassulke-Reilly,096 Dawn Lane,São Paulo - SP,2020-03-23,2021-06-01,922,,,
130,Gusikowski Group,3484 Hagan Alley,Florianópolis - SC,2020-03-25,2022-03-11,292,,,
131,Sipes-Kuvalis,727 Boyd Terrace,Brasilia - DF,2020-03-26,2021-07-13,758,,,
132,Jaskolski Group,9622 Rusk Crossing,Florianópolis - SC,2020-03-26,2022-03-20,592,,,
133,"Zulauf, McCullough and Hansen",2740 Carioca Place,Fortaleza - CE,2020-03-28,2022-04-18,570,,,
134,"Tillman, Hansen and Tillman",348 Corscot Plaza,Santos - SP,2020-03-28,2022-01-06,294,,,
135,Rohan and Sons,0178 Grim Road,São Paulo - SP,2020-03-28,2021-12-15,480,,,
136,Skiles Group,3 Monica Avenue,Santos - SP,2020-03-28,2022-02-16,200,,,
137,"Fay, Rutherford and Rath",446 Mandrake Lane,São Paulo - SP,2020-03-30,2021-10-30,52,,,
138,"Lang, McLaughlin and Schoen",04292 Maple Wood Plaza,Fortaleza - CE,2020-03-30,2022-05-26,109,,,
139,"Boyer, Mante and Fritsch",8 Hovde Terrace,Fortaleza - CE,2020-03-31,2021-12-06,684,,,
140,Padberg LLC,17723 Mccormick Parkway,Fortaleza - CE,2020-03-31,2021-05-09,566,,,
141,Ward LLC,57886 Amoth Drive,São Paulo - SP,2020-03-31,2022-06-02,747,,,
142,Cronin-Lind,464 Bellgrove Parkway,Florianópolis - SC,2020-04-01,2022-06-26,760,,,
143,"Reynolds, Abbott and Nader",1 Scott Park,Brasilia - DF,2020-04-01,2021-10-22,535,,,
144,Mann Group,304 Milwaukee Road,São Paulo - SP,2020-04-02,2021-08-08,538,,,
145,Hayes-Huel,4 High Crossing Alley,Santos - SP,2020-04-02,2021-12-04,630,,,
146,Cole-Harber,05 Ruskin Street,Porto Alegre - RS,2020-04-04,2021-08-17,225,,,
147,McLaughlin-Buckridge,06920 Farragut Avenue,Brasilia - DF,2020-04-06,2022-03-19,324,,,
148,Armstrong-Wehner,3345 Aberg Crossing,Fortaleza - CE,2020-04-06,2022-05-15,871,,,
149,Raynor-Lubowitz,35117 Porter Road,Santos - SP,2020-04-09,2021-04-15,671,,,
150,Vandervort-Weissnat,0339 Prentice Street,Porto Alegre - RS,2020-04-10,2022-07-27,513,,,
151,Gleichner Group,22741 Oriole Center,Florianópolis - SC,2020-04-10,2021-06-23,748,,,
152,Ratke and Sons,37 Towne Road,Fortaleza - CE,2020-04-13,2021-09-06,361,,,
153,"Daugherty, Carroll and Bartell",8 Dovetail Center,Brasilia - DF,2020-04-14,2022-06-15,191,,,
154,"Daugherty, White and Konopelski",76868 Mayfield Crossing,Florianópolis - SC,2020-04-15,2022-06-04,208,,,
155,Lehner Inc,8 Holy Cross Plaza,Florianópolis - SC,2020-04-15,2022-01-11,644,,,
156,Gusikowski-Murazik,2 Summer Ridge Way,Brasilia - DF,2020-04-15,2021-12-07,473,,,
157,"Reichert, Skiles and Jacobson",86993 Gina Street,Rio de Janeiro - RJ,2020-04-18,2022-03-06,500,,,
158,Ebert Inc,03361 Hovde Lane,Santos - SP,2020-04-18,2022-06-17,714,,,
159,Schinner-Brekke,35 Wayridge Park,São Paulo - SP,2020-04-18,2021-07-10,513,,,
160,Considine LLC,81 Loomis Parkway,Santos - SP,2020-04-19,2021-11-20,116,,,
161,Schuppe-Wunsch,43 Village Drive,Porto Alegre - RS,2020-04-20,2021-08-24,535,,,
162,Rodriguez-Funk,07 Bunting Way,Santos - SP,2020-04-20,2021-06-06,685,,,
163,Ortiz Group,10 Namekagon Place,Florianópolis - SC,2020-04-20,2021-05-05,242,,,
164,Ullrich and Sons,21851 Sundown Circle,Fortaleza - CE,2020-04-23,2021-02-04,481,,,
165,"Murazik, Daniel and Emmerich",89294 Oneill Point,Fortaleza - CE,2020-04-23,2021-07-08,365,,,
166,Satterfield-Hand,461 Mesta Parkway,Florianópolis - SC,2020-04-23,2021-02-25,674,,,
167,"Graham, Wisoky and Kiehn",8852 Mcguire Way,São Paulo - SP,2020-04-24,2022-01-01,197,,,
168,"Kunze, Jacobs and Frami",2622 Arkansas Crossing,Porto Alegre - RS,2020-04-24,2021-12-23,758,,,
169,"Pfeffer, Kling and Prosacco",848 Knutson Circle,Fortaleza - CE,2020-04-26,2021-08-23,295,,,
170,"O'Connell, Ferry and Wiegand",03 Goodland Way,São Paulo - SP,2020-04-26,2022-05-14,595,,,
171,Dach-Tremblay,3922 Haas Court,Porto Alegre - RS,2020-05-01,2021-05-07,332,,,
172,Bayer-Robel,8106 Sloan Point,Rio de Janeiro - RJ,2020-05-01,2022-01-15,444,,,
173,"Dooley, Reichel and Jacobson",5 Grasskamp Trail,Florianópolis - SC,2020-05-01,2021-09-02,563,,,
174,Douglas-Bernhard,1 Luster Parkway,São Paulo - SP,2020-05-03,2022-01-16,467,,,
175,Boehm and Sons,8 Green Ridge Park,Santos - SP,2020-05-04,2021-04-12,658,,,
176,Grimes-Bins,3 Loftsgordon Junction,Porto Alegre - RS,2020-05-04,2021-01-25,120,,,
177,"Hauck, Boehm and Stroman",8074 Lien Circle,Rio de Janeiro - RJ,2020-05-05,2021-01-02,414,,,
178,Shanahan-Borer,557 Dexter Lane,Florianópolis - SC,2020-05-06,2022-05-03,758,,,
179,"Paucek, Wolf and Wyman",0375 Oriole Avenue,São Paulo - SP,2020-05-06,2021-05-18,383,,,
180,"Heidenreich, Braun and Swaniawski",6440 Sunnyside Way,Rio de Janeiro - RJ,2020-05-07,2022-03-22,775,,,
181,Wisoky LLC,97721 Hermina Hill,Rio de Janeiro - RJ,2020-05-07,2022-01-06,715,,,
182,Heidenreich-Corkery,9 Spenser Pass,Santos - SP,2020-05-07,2022-03-04,666,,,
183,"Rowe, Hagenes and Mitchell",0 Buhler Pass,Porto Alegre - RS,2020-05-08,2021-06-20,145,,,
184,Kertzmann Inc,0991 Dwight Road,São Paulo - SP,2020-05-10,2022-01-13,634,,,
185,"Hermiston, Wyman and Kerluke",3662 High Crossing Pass,Rio de Janeiro - RJ,2020-05-10,2021-12-10,352,,,
186,O'Keefe-Auer,6662 Sullivan Street,Porto Alegre - RS,2020-05-11,2021-11-25,785,,,
187,Torp-Parker,7913 Colorado Point,Fortaleza - CE,2020-05-12,2021-08-07,344,,,
188,"Bauch, Ryan and Goodwin",0 Corry Junction,Fortaleza - CE,2020-05-12,2022-03-09,76,,,
189,MacGyver and Sons,41 Spaight Park,Florianópolis - SC,2020-05-15,2021-09-08,474,,,
190,"McGlynn, Koss and Kub",23 Badeau Road,Porto Alegre - RS,2020-05-17,2021-06-15,646,,,
191,Mohr Group,0238 Eggendart Court,Florianópolis - SC,2020-05-18,2022-04-27,859,,,
192,"Wiegand, Dietrich and Gorczany",143 Schurz Parkway,Brasilia - DF,2020-05-20,2022-06-05,312,,,
193,"Hegmann, Steuber and Fisher",2485 Luster Crossing,Fortaleza - CE,2020-05-21,2021-11-08,212,,,
194,Lockman Inc,9953 Stang Lane,Porto Alegre - RS,2020-05-22,2021-10-30,406,,,
195,Maggio-Friesen,24222 Merrick Park,Florianópolis - SC,2020-05-22,2021-12-17,295,,,
196,Funk and Sons,75106 Hazelcrest Court,Fortaleza - CE,2020-05-24,2021-03-27,147,,,
197,Connelly-Berge,6 Di Loreto Drive,Florianópolis - SC,2020-05-25,2022-01-03,805,,,
198,"Monahan, Hills and Dare",30100 Kim Park,Florianópolis - SC,2020-05-26,2021-04-04,31,,,
199,"Grimes, Pagac and Swaniawski",75 Tony Junction,São Paulo - SP,2020-05-26,2022-05-26,242,,,
200,Abbott-Mosciski,748 Eagle Crest Alley,Brasilia - DF,2020-05-26,2022-03-22,615,,,
201,Hintz-Wilderman,8793 Kensington Center,Santos - SP,2020-05-28,2022-04-17,126,,,
202,Powlowski and Sons,4015 Sutteridge Court,São Paulo - SP,2020-05-28,2021-10-29,508,,,
203,Welch-McDermott,039 Mayfield Crossing,Porto Alegre - RS,2020-05-30,2021-12-25,335,,,
204,"Wehner, Wilkinson and Renner",42903 Green Avenue,Florianópolis - SC,2020-05-30,2021-04-14,456,,,
205,"Hessel, Murphy and Hoeger",421 6th Place,São Paulo - SP,2020-06-01,2021-04-21,733,,,
206,Goodwin-Gusikowski,94 Park Meadow Way,Santos - SP,2020-06-01,2021-02-22,937,,,
207,"Stoltenberg, Smith and Lebsack",848 Packers Terrace,Florianópolis - SC,2020-06-01,2022-02-06,686,,,
208,Goldner-Quitzon,93 Manley Pass,São Paulo - SP,2020-06-03,2022-04-07,337,,,
209,Ratke Group,6572 Lien Alley,Florianópolis - SC,2020-06-04,2022-07-20,515,,,
210,"Orn, Kautzer and Langosh",49 Rowland Pass,Rio de Janeiro - RJ,2020-06-04,2021-08-18,392,,,
211,Jerde Inc,3174 Schiller Street,Florianópolis - SC,2020-06-05,2022-09-10,258,,,
212,Kshlerin and Sons,241 Marquette Center,Brasilia - DF,2020-06-07,2021-11-05,724,,,
213,Turcotte-Hills,95095 Browning Street,Brasilia - DF,2020-06-08,2022-06-17,672,,,
214,"Goodwin, McGlynn and Gottlieb",9 Wayridge Terrace,Florianópolis - SC,2020-06-08,2021-07-28,782,,,
215,Emmerich-Adams,520 Badeau Park,Brasilia - DF,2020-06-10,2021-12-17,716,,,
216,"Heidenreich, Roberts and Greenfelder",9 6th Circle,Florianópolis - SC,2020-06-12,2021-04-16,139,,,
217,Gutmann and Sons,3527 Straubel Place,Florianópolis - SC,2020-06-12,2021-07-07,766,,,
218,Gorczany-Botsford,95459 Anderson Junction,Fortaleza - CE,2020-06-12,2021-09-15,62,,,
219,Koss-Kuphal,1559 Bultman Alley,Rio de Janeiro - RJ,2020-06-12,2021-10-19,425,,,
220,"Bruen, Leannon and Considine",70816 Troy Junction,Fortaleza - CE,2020-06-13,2021-08-28,920,,,
221,Berge Group,52201 Oakridge Center,Porto Alegre - RS,2020-06-13,2022-03-05,753,,,
222,"Casper, Kassulke and Wisoky",86080 Pankratz Junction,Fortaleza - CE,2020-06-15,2021-05-17,275,,,
223,"Walker, Bechtelar and Wyman",6871 Tennyson Parkway,Santos - SP,2020-06-16,2021-08-11,298,,,
224,Hilpert-Kreiger,87 Mandrake Street,Santos - SP,2020-06-17,2022-02-19,533,,,
225,Harris-Simonis,80881 Rockefeller Trail,Brasilia - DF,2020-06-17,2021-09-01,504,,,
226,"Leffler, Morissette and McDermott",588 Mayer Terrace,São Paulo - SP,2020-06-17,2021-08-02,218,,,
227,Kunde-Fritsch,662 Oakridge Terrace,Rio de Janeiro - RJ,2020-06-18,2021-08-20,198,,,
228,Hudson-DuBuque,08103 Glendale Hill,São Paulo - SP,2020-06-18,2022-01-04,273,,,
229,Cole Inc,2 Surrey Plaza,Florianópolis - SC,2020-06-21,2021-08-04,141,,,
230,"Rutherford, Schmidt and D'Amore",29 Waywood Parkway,Porto Alegre - RS,2020-06-22,2021-05-29,749,,,
231,Nolan LLC,61 Fairview Street,Brasilia - DF,2020-06-22,2022-02-22,102,,,
232,"Runolfsson, Collins and Abernathy",27 Namekagon Avenue,Santos - SP,2020-06-23,2021-09-06,65,,,
233,Muller-Corwin,753 Northridge Junction,São Paulo - SP,2020-06-24,2021-09-04,614,,,
234,Schuppe and Sons,39 Grim Avenue,São Paulo - SP,2020-06-24,2021-08-01,144,,,
235,"Baumbach, Nolan and Gislason",0 Drewry Place,Rio de Janeiro - RJ,2020-06-26,2021-05-02,295,,,
236,Gleichner and Sons,57 Westend Trail,São Paulo - SP,2020-06-27,2021-12-27,391,,,
237,"Koss, Marvin and Osinski",300 Katie Pass,Florianópolis - SC,2020-06-29,2021-04-01,218,,,
238,Walter-Swift,55046 Barby Way,São Paulo - SP,2020-06-29,2021-08-19,648,,,
239,Johnston Inc,6006 Elmside Circle,Porto Alegre - RS,2020-06-29,2022-02-07,881,,,
240,Pagac-Metz,2632 Forest Dale Drive,Fortaleza - CE,2020-06-30,2021-08-08,213,,,
241,Baumbach and Sons,80 Reinke Court,Rio de Janeiro - RJ,2020-07-01,2021-02-22,574,,,
242,"Runte, Bradtke and West",1 Everett Circle,Porto Alegre - RS,2020-07-02,2022-03-13,336,,,
243,Parisian-Bartoletti,2 Clarendon Plaza,Brasilia - DF,2020-07-02,2022-02-05,398,,,
244,"Harber, Harvey and Ferry",204 Elmside Point,Porto Alegre - RS,2020-07-04,2021-05-30,183,,,
245,"Fritsch, Daniel and Lubowitz",339 Harbort Lane,Florianópolis - SC,2020-07-04,2021-07-01,522,,,
246,Block-Franecki,322 Hintze Circle,São Paulo - SP,2020-07-06,2022-07-18,844,,,
247,Altenwerth-Quigley,253 Memorial Pass,Fortaleza - CE,2020-07-06,2022-02-04,326,,,
248,"Botsford, Bednar and Windler",27 Susan Junction,Rio de Janeiro - RJ,2020-07-07,2022-01-16,259,,,
249,Krajcik Group,39 Superior Court,Fortaleza - CE,2020-07-08,2021-06-16,398,,,
250,"Donnelly, Collins and Swift",99382 Carpenter Street,Florianópolis - SC,2020-07-09,2022-02-11,661,,,
251,Bogisich and Sons,0417 Sundown Circle,Florianópolis - SC,2020-07-09,2022-04-27,545,,,
252,Casper-DuBuque,3 Union Trail,São Paulo - SP,2020-07-09,2022-03-12,79,,,
253,Tremblay Inc,0 Holy Cross Park,Fortaleza - CE,2020-07-09,2022-01-12,480,,,
254,Schimmel Inc,56060 Dorton Alley,Brasilia - DF,2020-07-12,2021-04-02,94,,,
255,"Williamson, Wuckert and Hermann",752 Anhalt Circle,Florianópolis - SC,2020-07-13,2022-09-28,965,,,
256,Altenwerth-Deckow,5 Lillian Crossing,Porto Alegre - RS,2020-07-14,2022-05-31,452,,,
257,Cummings LLC,7885 Nova Terrace,Fortaleza - CE,2020-07-15,2022-02-13,500,,,
258,Rice-Boehm,88 Memorial Center,São Paulo - SP,2020-07-15,2022-06-26,698,,,
259,Kuhic-Wilderman,13 Magdeline Parkway,Rio de Janeiro - RJ,2020-07-16,2021-08-16,424,,,
260,Cormier LLC,7123 Northport Park,Rio de Janeiro - RJ,2020-07-20,2022-06-23,165,,,
