Id,Hotel Name,Address,City State,Registration Date,Last Booking,Total Bookings,Registration Id
73,Friesen-Rutherford,4 Chive Alley,Santos - SP,2019-12-18,2021-02-14,448,160487182553
74,Schaden-Bode,80 Eagan Road,Porto Alegre - RS,2019-12-30,2021-10-18,543,347314299894
75,Langworth LLC,521 Sachs Lane,Florianópolis - SC,2019-12-30,2021-05-20,640,167446365698
76,Murray-Predovic,3410 Kinsman Avenue,Florianópolis - SC,2019-12-30,2022-02-15,54,275491604412
77,Denesik-Turner,527 Badeau Terrace,Porto Alegre - RS,2019-12-31,2021-06-04,524,714372580418
78,Reichel-Harris,7372 Chive Drive,Santos - SP,2020-01-01,2021-04-19,751,230443960924
79,Rutherford-Bernhard,57 Sunnyside Road,Porto Alegre - RS,2020-01-02,2021-07-22,529,411785695053
80,Abbott-Gerhold,4867 Mifflin Hill,Fortaleza - CE,2020-01-04,2021-09-19,566,358298594963
81,"Kris, Jerde and Kassulke",37 Walton Lane,Porto Alegre - RS,2020-01-04,2021-03-06,71,285728667338
82,Collins and Sons,48 Swallow Circle,Brasilia - DF,2020-01-06,2021-04-18,857,291213598615
83,"Harris, Beahan and Hauck",7 Westport Junction,Florianópolis - SC,2020-01-09,2021-08-15,59,654115074003
84,Orn Inc,0 Mariners Cove Road,Santos - SP,2020-01-09,2021-07-19,381,752851972254
85,Kihn LLC,6898 Stoughton Center,Fortaleza - CE,2020-01-14,2021-06-23,455,616613235739
86,"Wiegand, Ledner and Wiegand",790 Fisk Road,Brasilia - DF,2020-01-15,2021-03-19,427,284863231923
87,"Mohr, Schimmel and Jacobson",014 Toban Place,Fortaleza - CE,2020-01-16,2021-11-21,321,406956010491
88,"Kreiger, Bailey and Lindgren",7 Northfield Road,Brasilia - DF,2020-01-16,2022-03-11,750,216487209918
89,"Graham, Hagenes and Collier",67509 Green Ridge Court,Rio de Janeiro - RJ,2020-01-17,2021-08-30,717,241154249614
90,"Ratke, Batz and Kilback",03 Warbler Trail,São Paulo - SP,2020-01-20,2021-09-09,802,379010253789
91,"Fritsch, Fisher and Rolfson",15 David Drive,Fortaleza - CE,2020-01-30,2021-11-14,627,832532691845
92,"Kozey, Spencer and Denesik",31 Eastlawn Parkway,Fortaleza - CE,2020-02-01,2021-10-14,11,898904439811
93,Simonis Group,9327 Fairfield Road,Rio de Janeiro - RJ,2020-02-01,2021-12-27,378,868414145820
94,"Conn, Terry and Powlowski",42380 Sycamore Street,São Paulo - SP,2020-02-02,2021-06-06,463,324077466015
95,Hammes Inc,2012 Old Shore Pass,Fortaleza - CE,2020-02-03,2021-06-03,421,911469565848
96,Collins-Little,071 Gerald Park,Brasilia - DF,2020-02-03,2021-12-04,390,248791798657
97,Torp-Lowe,6 Caliangt Court,Florianópolis - SC,2020-02-04,2020-12-29,295,709566817263
98,Sporer-Walker,2970 Stephen Street,Rio de Janeiro - RJ,2020-02-06,2022-08-26,441,750573329827
99,"Wintheiser, Maggio and Kuhlman",044 Harper Alley,São Paulo - SP,2020-02-13,2021-04-14,279,497970506812
100,Schuppe Inc,8504 Arapahoe Lane,Fortaleza - CE,2020-02-14,2021-05-14,362,649326483622
101,Padberg-Conroy,8 Havey Avenue,Fortaleza - CE,2020-02-17,2021-11-03,435,478353985786
102,"Effertz, Will and Rogahn",54668 Shasta Place,Brasilia - DF,2020-02-19,2021-12-13,702,216163203310
103,Botsford Group,805 Hanover Crossing,Fortaleza - CE,2020-02-20,2022-04-05,33,658165623602
104,"Fisher, Hammes and Schuppe",500 Orin Park,Brasilia - DF,2020-02-23,2021-03-20,561,841347546436
105,Nikolaus-McDermott,447 Fulton Hill,Florianópolis - SC,2020-02-23,2021-04-17,252,589166561707
106,Beier Inc,2 Algoma Junction,São Paulo - SP,2020-02-24,2021-11-03,520,869733711487
107,Kunde LLC,4 Aberg Street,Rio de Janeiro - RJ,2020-02-26,2022-01-27,691,794460910960
108,"Romaguera, Block and Olson",83 Evergreen Plaza,Brasilia - DF,2020-02-28,2020-12-17,198,889160925005
109,"Welch, Kreiger and Smith",39 Sugar Court,Brasilia - DF,2020-02-29,2022-02-27,73,816403634435
110,Roberts and Sons,45 Monterey Crossing,Porto Alegre - RS,2020-02-29,2021-09-13,229,242536437558
111,Koelpin LLC,9 Shelley Avenue,Brasilia - DF,2020-03-02,2021-10-11,237,611684166225
112,Kulas Group,3735 Eastwood Place,Fortaleza - CE,2020-03-05,2022-01-28,176,872345868138
113,Flatley-Boehm,15014 Morrow Pass,Porto Alegre - RS,2020-03-05,2021-09-17,576,782584086963
114,"Becker, Botsford and Krajcik",27 Dorton Plaza,Florianópolis - SC,2020-03-07,2021-05-23,386,729031929554
115,Russel LLC,773 Starling Trail,Florianópolis - SC,2020-03-09,2022-02-10,706,462163996109
116,McDermott Inc,4574 Hintze Point,Rio de Janeiro - RJ,2020-03-09,2021-03-15,227,291954694477
117,Runolfsdottir and Sons,28068 Portage Alley,São Paulo - SP,2020-03-09,2021-08-29,756,571095680112
118,"Dibbert, Mertz and Jast",6387 Havey Street,Rio de Janeiro - RJ,2020-03-10,2021-01-02,57,764374764364
119,Feest Inc,73038 Nevada Court,Santos - SP,2020-03-10,2021-08-19,445,808058814751
120,Nitzsche-Kovacek,89 Almo Alley,Santos - SP,2020-03-13,2021-07-26,551,843516431808
121,Ortiz-Weimann,56298 Dakota Court,São Paulo - SP,2020-03-15,2022-01-20,373,733757364938
122,Wintheiser-Turcotte,04 Vidon Park,Rio de Janeiro - RJ,2020-03-17,2022-01-11,423,947294352820
123,Howe Inc,76 Northridge Point,Rio de Janeiro - RJ,2020-03-17,2021-07-19,515,498124986964
124,Jenkins-Runte,5 Loomis Alley,Fortaleza - CE,2020-03-19,2021-02-07,358,313632474136
125,"Ward, Sporer and D'Amore",0 Rieder Park,Florianópolis - SC,2020-03-21,2021-07-22,252,160813922046
126,"Jacobs, O'Hara and Skiles",9135 Blaine Pass,Florianópolis - SC,2020-03-21,2021-08-11,443,848478941902
127,Johnson and Sons,449 Bluejay Center,Brasilia - DF,2020-03-23,2021-10-29,429,211217709181
128,Watsica-McGlynn,69 Veith Trail,Fortaleza - CE,2020-03-23,2021-10-27,435,472925855940
129,Kassulke-Reilly,096 Dawn Lane,São Paulo - SP,2020-03-23,2021-06-01,922,281192033419
130,Gusikowski Group,3484 Hagan Alley,Florianópolis - SC,2020-03-25,2022-03-11,292,471627681735
131,Sipes-Kuvalis,727 Boyd Terrace,Brasilia - DF,2020-03-26,2021-07-13,758,745676317992
132,Jaskolski Group,9622 Rusk Crossing,Florianópolis - SC,2020-03-26,2022-03-20,592,421096725309
133,"Zulauf, McCullough and Hansen",2740 Carioca Place,Fortaleza - CE,2020-03-28,2022-04-18,570,480701746724
134,"Tillman, Hansen and Tillman",348 Corscot Plaza,Santos - SP,2020-03-28,2022-01-06,294,891137558771
135,Rohan and Sons,0178 Grim Road,São Paulo - SP,2020-03-28,2021-12-15,480,387962148336
136,Skiles Group,3 Monica Avenue,Santos - SP,2020-03-28,2022-02-16,200,802189180394
137,"Fay, Rutherford and Rath",446 Mandrake Lane,São Paulo - SP,2020-03-30,2021-10-30,52,316970822620
138,"Lang, McLaughlin and Schoen",04292 Maple Wood Plaza,Fortaleza - CE,2020-03-30,2022-05-26,109,153107069481
139,"Boyer, Mante and Fritsch",8 Hovde Terrace,Fortaleza - CE,2020-03-31,2021-12-06,684,844797011183
140,Padberg LLC,17723 Mccormick Parkway,Fortaleza - CE,2020-03-31,2021-05-09,566,788732112826
141,Ward LLC,57886 Amoth Drive,São Paulo - SP,2020-03-31,2022-06-02,747,570964857053
142,Cronin-Lind,464 Bellgrove Parkway,Florianópolis - SC,2020-04-01,2022-06-26,760,904193223904
143,"Reynolds, Abbott and Nader",1 Scott Park,Brasilia - DF,2020-04-01,2021-10-22,535,426840101086
144,Mann Group,304 Milwaukee Road,São Paulo - SP,2020-04-02,2021-08-08,538,489475283323
145,Hayes-Huel,4 High Crossing Alley,Santos - SP,2020-04-02,2021-12-04,630,157662952313
146,Cole-Harber,05 Ruskin Street,Porto Alegre - RS,2020-04-04,2021-08-17,225,830785966359
147,McLaughlin-Buckridge,06920 Farragut Avenue,Brasilia - DF,2020-04-06,2022-03-19,324,332253866179
148,Armstrong-Wehner,3345 Aberg Crossing,Fortaleza - CE,2020-04-06,2022-05-15,871,227782387737
149,Raynor-Lubowitz,35117 Porter Road,Santos - SP,2020-04-09,2021-04-15,671,271137356669
150,Vandervort-Weissnat,0339 Prentice Street,Porto Alegre - RS,2020-04-10,2022-07-27,513,289175590749
151,Gleichner Group,22741 Oriole Center,Florianópolis - SC,2020-04-10,2021-06-23,748,594452588388
152,Ratke and Sons,37 Towne Road,Fortaleza - CE,2020-04-13,2021-09-06,361,934618938229
153,"Daugherty, Carroll and Bartell",8 Dovetail Center,Brasilia - DF,2020-04-14,2022-06-15,191,163569972150
154,"Daugherty, White and Konopelski",76868 Mayfield Crossing,Florianópolis - SC,2020-04-15,2022-06-04,208,615169667240
155,Lehner Inc,8 Holy Cross Plaza,Florianópolis - SC,2020-04-15,2022-01-11,644,466474261876
156,Gusikowski-Murazik,2 Summer Ridge Way,Brasilia - DF,2020-04-15,2021-12-07,473,348723677880
157,"Reichert, Skiles and Jacobson",86993 Gina Street,Rio de Janeiro - RJ,2020-04-18,2022-03-06,500,790038858497
158,Ebert Inc,03361 Hovde Lane,Santos - SP,2020-04-18,2022-06-17,714,793356722335
159,Schinner-Brekke,35 Wayridge Park,São Paulo - SP,2020-04-18,2021-07-10,513,425373304895
160,Considine LLC,81 Loomis Parkway,Santos - SP,2020-04-19,2021-11-20,116,449349784532
161,Schuppe-Wunsch,43 Village Drive,Porto Alegre - RS,2020-04-20,2021-08-24,535,748091413421
162,Rodriguez-Funk,07 Bunting Way,Santos - SP,2020-04-20,2021-06-06,685,198058934780
163,Ortiz Group,10 Namekagon Place,Florianópolis - SC,2020-04-20,2021-05-05,242,161202402097
164,Ullrich and Sons,21851 Sundown Circle,Fortaleza - CE,2020-04-23,2021-02-04,481,337491275709
165,"Murazik, Daniel and Emmerich",89294 Oneill Point,Fortaleza - CE,2020-04-23,2021-07-08,365,293669893152
166,Satterfield-Hand,461 Mesta Parkway,Florianópolis - SC,2020-04-23,2021-02-25,674,204936442217
167,"Graham, Wisoky and Kiehn",8852 Mcguire Way,São Paulo - SP,2020-04-24,2022-01-01,197,398816533513
168,"Kunze, Jacobs and Frami",2622 Arkansas Crossing,Porto Alegre - RS,2020-04-24,2021-12-23,758,679981537774
169,"Pfeffer, Kling and Prosacco",848 Knutson Circle,Fortaleza - CE,2020-04-26,2021-08-23,295,435912860453
170,"O'Connell, Ferry and Wiegand",03 Goodland Way,São Paulo - SP,2020-04-26,2022-05-14,595,759048836647
171,Dach-Tremblay,3922 Haas Court,Porto Alegre - RS,2020-05-01,2021-05-07,332,309698809219
172,Bayer-Robel,8106 Sloan Point,Rio de Janeiro - RJ,2020-05-01,2022-01-15,444,466149087459
173,"Dooley, Reichel and Jacobson",5 Grasskamp Trail,Florianópolis - SC,2020-05-01,2021-09-02,563,470756066112
174,Douglas-Bernhard,1 Luster Parkway,São Paulo - SP,2020-05-03,2022-01-16,467,442374045523
175,Boehm and Sons,8 Green Ridge Park,Santos - SP,2020-05-04,2021-04-12,658,823480692704
176,Grimes-Bins,3 Loftsgordon Junction,Porto Alegre - RS,2020-05-04,2021-01-25,120,392434849885
177,"Hauck, Boehm and Stroman",8074 Lien Circle,Rio de Janeiro - RJ,2020-05-05,2021-01-02,414,850750137156
178,Shanahan-Borer,557 Dexter Lane,Florianópolis - SC,2020-05-06,2022-05-03,758,786632705691
179,"Paucek, Wolf and Wyman",0375 Oriole Avenue,São Paulo - SP,2020-05-06,2021-05-18,383,215079462257
180,"Heidenreich, Braun and Swaniawski",6440 Sunnyside Way,Rio de Janeiro - RJ,2020-05-07,2022-03-22,775,589117638156
181,Wisoky LLC,97721 Hermina Hill,Rio de Janeiro - RJ,2020-05-07,2022-01-06,715,304208908015
182,Heidenreich-Corkery,9 Spenser Pass,Santos - SP,2020-05-07,2022-03-04,666,672805976855
183,"Rowe, Hagenes and Mitchell",0 Buhler Pass,Porto Alegre - RS,2020-05-08,2021-06-20,145,724880773574
184,Kertzmann Inc,0991 Dwight Road,São Paulo - SP,2020-05-10,2022-01-13,634,747363584195
185,"Hermiston, Wyman and Kerluke",3662 High Crossing Pass,Rio de Janeiro - RJ,2020-05-10,2021-12-10,352,765772664075
186,O'Keefe-Auer,6662 Sullivan Street,Porto Alegre - RS,2020-05-11,2021-11-25,785,194693417276
187,Torp-Parker,7913 Colorado Point,Fortaleza - CE,2020-05-12,2021-08-07,344,940195207692
188,"Bauch, Ryan and Goodwin",0 Corry Junction,Fortaleza - CE,2020-05-12,2022-03-09,76,256132588545
189,MacGyver and Sons,41 Spaight Park,Florianópolis - SC,2020-05-15,2021-09-08,474,150139558577
190,"McGlynn, Koss and Kub",23 Badeau Road,Porto Alegre - RS,2020-05-17,2021-06-15,646,633062732066
191,Mohr Group,0238 Eggendart Court,Florianópolis - SC,2020-05-18,2022-04-27,859,154249246787
192,"Wiegand, Dietrich and Gorczany",143 Schurz Parkway,Brasilia - DF,2020-05-20,2022-06-05,312,539044125657
193,"Hegmann, Steuber and Fisher",2485 Luster Crossing,Fortaleza - CE,2020-05-21,2021-11-08,212,690748034020
194,Lockman Inc,9953 Stang Lane,Porto Alegre - RS,2020-05-22,2021-10-30,406,583792760883
195,Maggio-Friesen,24222 Merrick Park,Florianópolis - SC,2020-05-22,2021-12-17,295,820665719293
196,Funk and Sons,75106 Hazelcrest Court,Fortaleza - CE,2020-05-24,2021-03-27,147,777516853951
197,Connelly-Berge,6 Di Loreto Drive,Florianópolis - SC,2020-05-25,2022-01-03,805,195192719146
198,"Monahan, Hills and Dare",30100 Kim Park,Florianópolis - SC,2020-05-26,2021-04-04,31,163885513375
199,"Grimes, Pagac and Swaniawski",75 Tony Junction,São Paulo - SP,2020-05-26,2022-05-26,242,927291102845
200,Abbott-Mosciski,748 Eagle Crest Alley,Brasilia - DF,2020-05-26,2022-03-22,615,271527964976
201,Hintz-Wilderman,8793 Kensington Center,Santos - SP,2020-05-28,2022-04-17,126,873822726597
202,Powlowski and Sons,4015 Sutteridge Court,São Paulo - SP,2020-05-28,2021-10-29,508,601439922185
203,Welch-McDermott,039 Mayfield Crossing,Porto Alegre - RS,2020-05-30,2021-12-25,335,299519870526
204,"Wehner, Wilkinson and Renner",42903 Green Avenue,Florianópolis - SC,2020-05-30,2021-04-14,456,193510830060
205,"Hessel, Murphy and Hoeger",421 6th Place,São Paulo - SP,2020-06-01,2021-04-21,733,399839182221
206,Goodwin-Gusikowski,94 Park Meadow Way,Santos - SP,2020-06-01,2021-02-22,937,274066590158
207,"Stoltenberg, Smith and Lebsack",848 Packers Terrace,Florianópolis - SC,2020-06-01,2022-02-06,686,162142640232
208,Goldner-Quitzon,93 Manley Pass,São Paulo - SP,2020-06-03,2022-04-07,337,840130282201
209,Ratke Group,6572 Lien Alley,Florianópolis - SC,2020-06-04,2022-07-20,515,888764453692
210,"Orn, Kautzer and Langosh",49 Rowland Pass,Rio de Janeiro - RJ,2020-06-04,2021-08-18,392,292008771570
211,Jerde Inc,3174 Schiller Street,Florianópolis - SC,2020-06-05,2022-09-10,258,922614678056
212,Kshlerin and Sons,241 Marquette Center,Brasilia - DF,2020-06-07,2021-11-05,724,780247174899
213,Turcotte-Hills,95095 Browning Street,Brasilia - DF,2020-06-08,2022-06-17,672,768243962093
214,"Goodwin, McGlynn and Gottlieb",9 Wayridge Terrace,Florianópolis - SC,2020-06-08,2021-07-28,782,479258820895
215,Emmerich-Adams,520 Badeau Park,Brasilia - DF,2020-06-10,2021-12-17,716,853551254429
216,"Heidenreich, Roberts and Greenfelder",9 6th Circle,Florianópolis - SC,2020-06-12,2021-04-16,139,903558740408
217,Gutmann and Sons,3527 Straubel Place,Florianópolis - SC,2020-06-12,2021-07-07,766,924608338205
218,Gorczany-Botsford,95459 Anderson Junction,Fortaleza - CE,2020-06-12,2021-09-15,62,262481383983
219,Koss-Kuphal,1559 Bultman Alley,Rio de Janeiro - RJ,2020-06-12,2021-10-19,425,720734765593
220,"Bruen, Leannon and Considine",70816 Troy Junction,Fortaleza - CE,2020-06-13,2021-08-28,920,715144483927
221,Berge Group,52201 Oakridge Center,Porto Alegre - RS,2020-06-13,2022-03-05,753,611212247243
222,"Casper, Kassulke and Wisoky",86080 Pankratz Junction,Fortaleza - CE,2020-06-15,2021-05-17,275,551856516396
223,"Walker, Bechtelar and Wyman",6871 Tennyson Parkway,Santos - SP,2020-06-16,2021-08-11,298,319799479628
224,Hilpert-Kreiger,87 Mandrake Street,Santos - SP,2020-06-17,2022-02-19,533,777956951206
225,Harris-Simonis,80881 Rockefeller Trail,Brasilia - DF,2020-06-17,2021-09-01,504,406066600118
226,"Leffler, Morissette and McDermott",588 Mayer Terrace,São Paulo - SP,2020-06-17,2021-08-02,218,612409343090
227,Kunde-Fritsch,662 Oakridge Terrace,Rio de Janeiro - RJ,2020-06-18,2021-08-20,198,547842330268
228,Hudson-DuBuque,08103 Glendale Hill,São Paulo - SP,2020-06-18,2022-01-04,273,377460528747
229,Cole Inc,2 Surrey Plaza,Florianópolis - SC,2020-06-21,2021-08-04,141,264491765980
230,"Rutherford, Schmidt and D'Amore",29 Waywood Parkway,Porto Alegre - RS,2020-06-22,2021-05-29,749,252679203339
231,Nolan LLC,61 Fairview Street,Brasilia - DF,2020-06-22,2022-02-22,102,862664620468
232,"Runolfsson, Collins and Abernathy",27 Namekagon Avenue,Santos - SP,2020-06-23,2021-09-06,65,832214988760
233,Muller-Corwin,753 Northridge Junction,São Paulo - SP,2020-06-24,2021-09-04,614,229801841891
234,Schuppe and Sons,39 Grim Avenue,São Paulo - SP,2020-06-24,2021-08-01,144,895580821867
235,"Baumbach, Nolan and Gislason",0 Drewry Place,Rio de Janeiro - RJ,2020-06-26,2021-05-02,295,729427974070
236,Gleichner and Sons,57 Westend Trail,São Paulo - SP,2020-06-27,2021-12-27,391,509670553612
237,"Koss, Marvin and Osinski",300 Katie Pass,Florianópolis - SC,2020-06-29,2021-04-01,218,833458494004
238,Walter-Swift,55046 Barby Way,São Paulo - SP,2020-06-29,2021-08-19,648,728149943574
239,Johnston Inc,6006 Elmside Circle,Porto Alegre - RS,2020-06-29,2022-02-07,881,937600388556
240,Pagac-Metz,2632 Forest Dale Drive,Fortaleza - CE,2020-06-30,2021-08-08,213,856475655923
241,Baumbach and Sons,80 Reinke Court,Rio de Janeiro - RJ,2020-07-01,2021-02-22,574,438367245111
242,"Runte, Bradtke and West",1 Everett Circle,Porto Alegre - RS,2020-07-02,2022-03-13,336,290389725172
243,Parisian-Bartoletti,2 Clarendon Plaza,Brasilia - DF,2020-07-02,2022-02-05,398,668873076731
244,"Harber, Harvey and Ferry",204 Elmside Point,Porto Alegre - RS,2020-07-04,2021-05-30,183,222161675900
245,"Fritsch, Daniel and Lubowitz",339 Harbort Lane,Florianópolis - SC,2020-07-04,2021-07-01,522,492390172288
246,Block-Franecki,322 Hintze Circle,São Paulo - SP,2020-07-06,2022-07-18,844,541268942907
247,Altenwerth-Quigley,253 Memorial Pass,Fortaleza - CE,2020-07-06,2022-02-04,326,920508661035
248,"Botsford, Bednar and Windler",27 Susan Junction,Rio de Janeiro - RJ,2020-07-07,2022-01-16,259,383916749435
249,Krajcik Group,39 Superior Court,Fortaleza - CE,2020-07-08,2021-06-16,398,403323689644
250,"Donnelly, Collins and Swift",99382 Carpenter Street,Florianópolis - SC,2020-07-09,2022-02-11,661,593551004082
