id,hotel_name,address,city,country,registration_date,latest_booking,total_bookings
131,"Heidenreich, Roberts and Greenfelder",9 6th Circle,Florianópolis,BR,2021-02-09,2021-04-14,66
132,"Ratke, Ziemann and Wolff",821 Old Gate Lane,São Paulo,BR,2021-02-09,2021-09-11,570
133,Langworth-Price,46 Jenna Point,Santos,BR,2021-02-09,2021-09-05,440
134,Zieme-Morar,13 Dakota Parkway,Brasilia,BR,2021-02-09,2021-05-01,357
135,Oberbrunner Inc,95 Fordem Place,Santos,BR,2021-02-09,2021-04-19,336
136,"Jaskolski, Mosciski and Mueller",95 Maple Center,Porto Alegre,BR,2021-02-09,2021-11-21,377
137,Okuneva-Schmidt,4711 South Place,Fortaleza,BR,2021-02-10,2021-05-06,763
138,Weber Group,31 2nd Trail,Florianópolis,BR,2021-02-10,2021-08-07,652
139,Kihn LLC,6898 Stoughton Center,Fortaleza,BR,2021-02-10,2021-08-10,355
140,"Kub, Heathcote and Franecki",2 Cottonwood Road,São Paulo,BR,2021-02-10,2021-11-28,212
141,"Hessel, Murphy and Hoeger",421 6th Place,São Paulo,BR,2021-02-11,2021-09-04,687
142,"Considine, Strosin and Waters",3 Oxford Court,Florianópolis,BR,2021-02-12,2021-06-02,736
143,Dach-Tremblay,3922 Haas Court,Porto Alegre,BR,2021-02-12,2021-08-07,230
144,"Hodkiewicz, Gleichner and Heaney",683 Algoma Parkway,Rio de Janeiro,BR,2021-02-12,2021-04-16,415
145,"Berge, Wunsch and Robel",907 Surrey Street,São Paulo,BR,2021-02-12,2021-12-06,14
146,Mitchell-Kuhn,9 Clarendon Center,Rio de Janeiro,BR,2021-02-13,2021-09-02,187
147,"Halvorson, Spencer and Sauer",08 Everett Avenue,Porto Alegre,BR,2021-02-13,2021-08-25,613
148,Swaniawski Inc,664 Karstens Road,Porto Alegre,BR,2021-02-13,2021-05-27,303
149,Baumbach and Sons,80 Reinke Court,Rio de Janeiro,BR,2021-02-14,2021-06-15,421
150,Rutherford-Bernhard,57 Sunnyside Road,Porto Alegre,BR,2021-02-14,2021-08-26,544
151,Ward Group,1814 Tomscot Crossing,São Paulo,BR,2021-02-14,2021-06-15,420
152,"Hagenes, Kerluke and Schowalter",429 Kropf Plaza,Porto Alegre,BR,2021-02-14,2021-06-14,13
153,Kulas LLC,313 Alpine Place,Rio de Janeiro,BR,2021-02-14,2021-10-09,401
154,Huels Inc,636 La Follette Trail,São Paulo,BR,2021-02-15,2021-06-06,631
155,Gerlach-Nikolaus,4696 Jay Avenue,Brasilia,BR,2021-02-15,2021-05-16,510
156,"Koss, Marvin and Osinski",300 Katie Pass,Florianópolis,BR,2021-02-16,2021-08-01,203
157,Pagac-Rohan,93 Fulton Trail,São Paulo,BR,2021-02-16,2021-11-17,539
158,Jenkins-Runte,5 Loomis Alley,Fortaleza,BR,2021-02-16,2021-05-20,272
159,Dare Inc,28 American Ash Plaza,São Paulo,BR,2021-02-16,2021-10-22,35
160,Boyer-Thompson,02 Orin Crossing,Florianópolis,BR,2021-02-16,2021-11-03,51
161,"Dibbert, Funk and Beahan",06 Corscot Park,Florianópolis,BR,2021-02-16,2021-12-10,16
162,Lehner-Champlin,45874 Sheridan Place,São Paulo,BR,2021-02-17,2021-11-16,744
163,Romaguera-Jenkins,9581 Havey Park,Santos,BR,2021-02-17,2021-10-18,512
164,Schuppe-Rempel,1 Fisk Way,Santos,BR,2021-02-17,2021-07-25,641
165,"Fisher, Reichert and Welch",1 Coleman Terrace,Brasilia,BR,2021-02-17,2021-05-13,719
166,Yundt-O'Keefe,46114 Schlimgen Terrace,Rio de Janeiro,BR,2021-02-18,2021-06-23,790
167,Collins-VonRueden,85 Eagle Crest Place,Santos,BR,2021-02-18,2021-12-09,293
168,"Kunze, Hackett and Jast",7740 Calypso Alley,Santos,BR,2021-02-18,2021-08-17,92
169,Reichert and Sons,143 Maple Point,Fortaleza,BR,2021-02-18,2021-11-07,799
170,Nicolas-O'Hara,28937 Glendale Trail,São Paulo,BR,2021-02-19,2021-10-20,491
171,Jacobi Group,0 Tennyson Place,Florianópolis,BR,2021-02-20,2021-04-10,541
172,O'Connell-Kertzmann,74 Bartillon Way,Porto Alegre,BR,2021-02-20,2021-06-22,192
173,"Yundt, Haag and Carroll",3 High Crossing Alley,São Paulo,BR,2021-02-20,2021-04-04,102
174,Ward-Brekke,6 Bartillon Way,Santos,BR,2021-02-21,2021-08-19,361
175,Raynor-Lubowitz,35117 Porter Road,Santos,BR,2021-02-21,2021-09-10,641
176,"Bayer, Jacobi and Feil",1 Sutherland Avenue,Fortaleza,BR,2021-02-21,2021-06-25,684
177,Wiegand-Walsh,4 Memorial Trail,Brasilia,BR,2021-02-21,2021-05-03,184
178,Heaney-Lockman,5050 Lerdahl Place,Santos,BR,2021-02-21,2021-04-11,95
179,Renner-Johns,50929 Butterfield Plaza,Santos,BR,2021-02-22,2021-07-13,282
180,"Lesch, Ferry and Marvin",95 Scoville Plaza,Santos,BR,2021-02-22,2021-03-25,555
181,"Terry, Abbott and Kohler",9116 Maple Wood Alley,Porto Alegre,BR,2021-02-23,2021-12-11,547
182,Wisoky LLC,97721 Hermina Hill,Rio de Janeiro,BR,2021-02-23,2021-12-13,557
183,"Abernathy, Kertzmann and Padberg",0468 Meadow Ridge Avenue,Brasilia,BR,2021-02-24,2021-07-26,345
184,Vandervort LLC,064 Briar Crest Point,Santos,BR,2021-02-24,2021-12-01,177
185,Wolf Group,56 Old Shore Trail,Fortaleza,BR,2021-02-24,2021-09-02,561
186,"Nolan, Bode and Medhurst",63 Menomonie Avenue,Rio de Janeiro,BR,2021-02-24,2021-12-21,682
187,"Jast, Jast and Abernathy",2 Rockefeller Avenue,Fortaleza,BR,2021-02-24,2021-06-14,175
188,Ruecker Inc,8 Bluestem Avenue,São Paulo,BR,2021-02-25,2021-04-27,272
189,"Mohr, Nader and Rosenbaum",6398 Dovetail Court,Florianópolis,BR,2021-02-25,2021-08-17,239
190,Beier Inc,2 Algoma Junction,São Paulo,BR,2021-02-25,2021-10-04,459
191,Jerde LLC,79 Mayer Trail,Florianópolis,BR,2021-02-25,2021-07-20,147
192,"Mueller, Thiel and MacGyver",223 Golden Leaf Lane,Fortaleza,BR,2021-02-25,2021-08-13,120
193,"Okuneva, Kutch and Rosenbaum",9 Marcy Point,Porto Alegre,BR,2021-02-25,2021-09-20,397
194,Thompson Inc,671 Old Shore Crossing,Florianópolis,BR,2021-02-25,2021-07-12,742
195,Lockman LLC,2 Alpine Plaza,Fortaleza,BR,2021-02-25,2021-10-08,584
196,Rodriguez-Funk,07 Bunting Way,Santos,BR,2021-02-26,2021-06-23,692
197,Wintheiser-Ratke,9518 Pine View Road,Brasilia,BR,2021-02-26,2021-05-14,639
198,"Kling, Parker and Grant",4 Melvin Avenue,Rio de Janeiro,BR,2021-02-26,2021-05-01,119
199,Wehner LLC,2 Brentwood Way,São Paulo,BR,2021-02-27,2021-09-08,419
200,"Romaguera, Block and Olson",83 Evergreen Plaza,Brasilia,BR,2021-02-27,2021-03-28,202
201,Waters LLC,97424 Atwood Way,Santos,BR,2021-02-27,2021-12-24,53
202,Hirthe-Nienow,290 Farragut Street,Florianópolis,BR,2021-02-27,2021-12-23,514
203,"DuBuque, Hoeger and Denesik",2 Meadow Ridge Avenue,Florianópolis,BR,2021-02-27,2021-08-15,799
204,"Monahan, Hills and Dare",30100 Kim Park,Florianópolis,BR,2021-02-28,2021-08-08,80
205,"Murazik, Daniel and Emmerich",89294 Oneill Point,Fortaleza,BR,2021-02-28,2021-09-12,185
206,Goodwin-Gusikowski,94 Park Meadow Way,Santos,BR,2021-02-28,2021-06-01,770
207,"Becker, Botsford and Krajcik",27 Dorton Plaza,Florianópolis,BR,2021-02-28,2021-05-28,293
208,Kiehn LLC,491 Northport Alley,Florianópolis,BR,2021-03-01,2021-06-18,393
209,Schinner-Brekke,35 Wayridge Park,São Paulo,BR,2021-03-01,2021-09-29,453
210,Nienow-Jaskolski,042 Park Meadow Center,Brasilia,BR,2021-03-01,2021-06-10,311
211,"Rutherford, Miller and Schuster",89 Schmedeman Terrace,São Paulo,BR,2021-03-02,2021-09-22,349
212,Bernier-Bartoletti,88430 Sugar Alley,Porto Alegre,BR,2021-03-02,2021-06-07,560
213,Douglas and Sons,0571 Nelson Way,São Paulo,BR,2021-03-02,2021-08-31,383
214,"Jerde, Murray and Wunsch",51622 Comanche Crossing,Florianópolis,BR,2021-03-02,2021-12-09,448
215,"Powlowski, Jenkins and Cole",38268 Fuller Hill,Porto Alegre,BR,2021-03-02,2021-10-12,252
216,"Hagenes, Johns and Stroman",7 Eagle Crest Plaza,Brasilia,BR,2021-03-02,2021-04-08,266
217,Ondricka-Durgan,2 Delladonna Street,Porto Alegre,BR,2021-03-03,2021-05-05,510
218,Grady-Pagac,413 Farmco Alley,Santos,BR,2021-03-03,2021-09-30,510
219,McGlynn LLC,73686 Prentice Court,Santos,BR,2021-03-03,2022-01-01,499
220,Koelpin LLC,9 Shelley Avenue,Brasilia,BR,2021-03-04,2022-01-03,213
221,"Willms, Barrows and Hilpert",13761 Magdeline Avenue,Florianópolis,BR,2021-03-04,2021-11-17,644
222,Runolfsdottir and Sons,28068 Portage Alley,São Paulo,BR,2021-03-04,2021-07-22,615
223,Steuber LLC,449 Corscot Circle,Fortaleza,BR,2021-03-05,2021-12-17,316
224,Kunde-Fritsch,662 Oakridge Terrace,Rio de Janeiro,BR,2021-03-05,2021-09-15,192
225,Beer Group,6 Armistice Point,Porto Alegre,BR,2021-03-05,2021-09-01,197
226,Weissnat-Dietrich,4 Haas Park,Santos,BR,2021-03-06,2021-11-04,760
227,Kulas Group,3735 Eastwood Place,Fortaleza,BR,2021-03-06,2021-12-31,188
228,Mann Group,509 Duke Park,Santos,BR,2021-03-06,2021-06-09,143
229,"Bechtelar, Willms and Kuhlman",944 Melby Circle,Rio de Janeiro,BR,2021-03-07,2021-11-17,271
230,Kling-Stark,710 Marcy Lane,São Paulo,BR,2021-03-07,2021-12-28,708
231,Sipes-Kuvalis,727 Boyd Terrace,Brasilia,BR,2021-03-07,2021-10-19,679
232,"Ratke, Runolfsson and Hilpert",663 Northwestern Court,Rio de Janeiro,BR,2021-03-07,2021-07-04,479
233,Von and Sons,07994 Oneill Hill,São Paulo,BR,2021-03-07,2021-09-11,547
234,Turner-McCullough,72740 Texas Parkway,São Paulo,BR,2021-03-08,2021-06-05,728
235,Gutmann and Sons,3527 Straubel Place,Florianópolis,BR,2021-03-08,2021-06-10,622
236,"Lynch, Klein and Orn",7509 Merry Terrace,Porto Alegre,BR,2021-03-08,2021-08-01,142
237,"Murphy, Hintz and Hamill",78723 Portage Point,Brasilia,BR,2021-03-08,2021-06-02,337
238,"Gutmann, Gerlach and Hagenes",32549 Mendota Circle,São Paulo,BR,2021-03-09,2021-12-05,544
239,Kunze Inc,602 Harbort Crossing,São Paulo,BR,2021-03-09,2021-07-18,194
240,Johnston-Bailey,76 Shopko Drive,Brasilia,BR,2021-03-09,2021-05-17,487
241,"Nitzsche, Thompson and Sporer",67 Raven Circle,Santos,BR,2021-03-09,2021-05-14,439
242,Bednar-Goodwin,65661 Elka Center,Florianópolis,BR,2021-03-09,2021-08-21,57
243,Wolf-Parisian,254 Schmedeman Junction,Rio de Janeiro,BR,2021-03-10,2021-09-07,176
244,"Carter, Botsford and Boehm",55301 Vahlen Park,São Paulo,BR,2021-03-10,2021-06-18,659
245,Brekke Group,65805 Susan Parkway,Porto Alegre,BR,2021-03-10,2021-11-13,74
246,"Zemlak, Rosenbaum and Kozey",16233 Arapahoe Court,São Paulo,BR,2021-03-10,2021-07-24,121
247,"Runolfsson, Hessel and McClure",75 1st Trail,Rio de Janeiro,BR,2021-03-10,2021-07-07,640
248,O'Reilly Group,2 Briar Crest Court,Florianópolis,BR,2021-03-10,2021-11-08,741
249,Feest-Johnston,318 Buell Park,Porto Alegre,BR,2021-03-10,2021-10-29,204
250,Rogahn-Kassulke,45437 Roth Pass,Porto Alegre,BR,2021-03-10,2021-04-19,221
251,"Pfeffer, Nicolas and Fahey",21 Lakewood Gardens Drive,Fortaleza,BR,2021-03-11,2021-10-09,485
252,Johns-Conroy,378 Walton Point,Brasilia,BR,2021-03-11,2021-04-25,159
253,Johnston Group,31454 Eastlawn Place,Porto Alegre,BR,2021-03-11,2021-04-14,340
254,Bradtke Inc,1 Golf Drive,Florianópolis,BR,2021-03-12,2021-05-31,420
255,Runolfsdottir-Hackett,40886 Starling Street,Santos,BR,2021-03-12,2021-08-24,406
256,"Wehner, Abbott and Considine",322 Gerald Park,Florianópolis,BR,2021-03-13,2021-11-15,533
257,Cronin-Treutel,345 Novick Parkway,Santos,BR,2021-03-13,2021-06-14,697
258,Reichert-McClure,82 Waywood Point,Florianópolis,BR,2021-03-13,2021-04-24,137
259,Volkman-Hirthe,429 Morningstar Terrace,São Paulo,BR,2021-03-13,2021-07-17,647
260,Berge LLC,8 Kim Drive,Santos,BR,2021-03-14,2021-04-23,86
261,Breitenberg-Glover,729 Esch Alley,Fortaleza,BR,2021-03-14,2021-07-02,729
262,"Wisozk, Fritsch and Feil",50104 Harper Road,Florianópolis,BR,2021-03-14,2021-11-21,151
263,"Leffler, Bogan and Doyle",91 Corben Circle,Brasilia,BR,2021-03-14,2021-08-30,740
264,"Rutherford, Schmidt and D'Amore",29 Waywood Parkway,Porto Alegre,BR,2021-03-15,2021-09-29,795
265,Schimmel Inc,56060 Dorton Alley,Brasilia,BR,2021-03-15,2021-06-01,66
266,"Blick, Nolan and Bernhard",39996 Harbort Street,Fortaleza,BR,2021-03-15,2021-08-25,218
267,Waters-Braun,0204 Pennsylvania Road,Santos,BR,2021-03-15,2021-09-01,306
268,"Murray, O'Hara and Rosenbaum",98 Ruskin Point,Florianópolis,BR,2021-03-15,2021-06-28,423
269,Considine LLC,81 Loomis Parkway,Santos,BR,2021-03-16,2021-11-30,10
270,Aufderhar LLC,4274 Kingsford Center,Santos,BR,2021-03-16,2021-09-25,185
271,Kiehn-Goodwin,84 Elka Alley,Florianópolis,BR,2021-03-17,2021-05-30,295
272,"Dibbert, Gulgowski and Kertzmann",8305 Surrey Court,Brasilia,BR,2021-03-17,2021-11-24,725
273,Langworth LLC,521 Sachs Lane,Florianópolis,BR,2021-03-18,2021-05-30,528
274,"Kutch, Dibbert and Hirthe",86199 Meadow Ridge Parkway,Rio de Janeiro,BR,2021-03-18,2021-11-30,373
275,"Gottlieb, Ebert and Abernathy",5 Michigan Place,Porto Alegre,BR,2021-03-18,2021-09-12,498
276,Konopelski Group,0 Pankratz Drive,Santos,BR,2021-03-18,2022-01-01,74
277,Greenfelder and Sons,268 Vidon Junction,São Paulo,BR,2021-03-18,2021-05-09,470
